file_name,num_nodes,num_edges,density,clustering_coefficient,characteristic_path_length,small_world_index
connectivity_timeseries_processed_sub-22_task-rest_run-2_bold.nii.csv,231,6784,0.255373611895351,0.48917748917748954,,
connectivity_timeseries_processed_sub-06_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-08_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-13_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-21_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-10_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-05_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-03_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-16_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-18_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-32_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-29_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-27_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-15_task-rest_run-2_bold.nii.csv,695,7230,0.029979474633549646,0.15155273047104656,,
connectivity_timeseries_processed_sub-24_task-rest_run-2_bold.nii.csv,463,7009,0.06553345862201154,0.23563987368248632,,
connectivity_timeseries_processed_sub-31_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-30_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-25_task-rest_run-2_bold.nii.csv,579,7120,0.0425503941290018,0.1851467646439587,,
connectivity_timeseries_processed_sub-01_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-14_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-26_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-28_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-33_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-19_task-rest_run-2_bold.nii.csv,463,7009,0.06553345862201154,0.23563987368248632,,
connectivity_timeseries_processed_sub-17_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-02_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-04_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-11_task-rest_run-2_bold.nii.csv,231,6784,0.255373611895351,0.48917748917748954,,
connectivity_timeseries_processed_sub-20_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-12_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-09_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-07_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
connectivity_timeseries_processed_sub-23_task-rest_run-2_bold.nii.csv,115,6670,1.0175438596491229,1.0,1.0,1.0
